"Kamila Maras","Fundacja Drozda","1727088191","89005730919437"
"Klara Mojsa","PPUH Jarmu³a-Kanarek S.A.","3521213734","03279041940127"
"Jan Gajdzik","Spó³dzielnia Sinkiewicz-Grzegorzak i syn s.c.","9458232542","57378633045473"
"Borys B³aziak","PPUH Wawszczak","5444942970","49130246205941"
"Aurelia Skuba³a","G³adka-Poczta i syn s.c.","2930464137","71346984895447"
"Cezary Majsterek","Fundacja Tywoniuk-¯yme³ka Sp. z o.o. Sp.k.","6280348410","55492207095673"
"pani Inga Gwizdek","PPUH Koss","5292646874","95942735196810"
"Maksymilian Hutyra","Gabinety Jakubiuk","2347148912","09780230454199"
"Tymoteusz Pyda","Powa³a Sp. z o.o.","7890696015","49555967244421"
"Julian Sajewicz","Gabinety Kutera","9896089346","69021391627083"
"pan Damian Skup","Rutowicz-Stefanik i syn s.c.","3362394366","15867423347801"
"Arkadiusz Siatka","Ochnio-Podpora s.c.","2133507816","41131373267775"
"Sandra Malara","Spó³dzielnia Betlej i syn s.c.","1925946608","79125766307311"
"pan Kazimierz £apacz","P³ócienniczak Sp.j.","2296708866","95360055890667"
"Inga Ciêciwa","Stowarzyszenie Chojna Sp.j.","2649104484","15047293241694"
"Apolonia Gêbura","Stowarzyszenie Mikita Sp.j.","7762816554","53933820483367"
"Stefan Ksiê¿ak","Gabinety Ga³aj Sp. z o.o.","9948715555","71029886660877"
"Tomasz Getka","Stanis³awek Sp. z o.o. Sp.k.","1735297288","11542356282979"
"pan Oskar Nawrotek","Chowaniak i syn s.c.","9651872378","91353456860431"
"pani Kalina Pawliczak","Spó³dzielnia Kulis Sp. z o.o.","6552408127","39212851027518"
"Anastazja Gubernat","PPUH Roda-Dzikiewicz Sp. z o.o.","9240230201","89059508221269"
"Rados³aw Graboœ","Grupa Szczap-Sularz i syn s.c.","8568560608","57108595906770"
"pani Malwina Kurc","Pela s.c.","5289704998","13365634171986"
"Inga Laszuk","Kucharzyk-Sereda s.c.","1315616798","81538856529932"
"pan Maksymilian Goska","Drozda-Szczap Sp.k.","1219377440","41005689498777"
"pan Micha³ Klyszcz","Grupa Starek","3697004781","47340418862021"
"pani Dagmara Nowrot","Wichary-Halama Sp. z o.o.","5191658798","65986112896029"
"Aurelia Bujas","Wojtanowicz i syn s.c.","4452416178","09856608287647"
"pani Dagmara Frankowicz","Dziadowicz-Frania Sp. z o.o.","9727369095","97090776617781"
"Konstanty Chyb","FPUH Siekierka-Berendt S.A.","8889973521","23974985657594"
"pan Leonard Bakiera","Spó³dzielnia Fularczyk-Kuska Sp. z o.o.","2331281577","15301656039220"
"Kacper Kubrak","Stowarzyszenie Biesek-Kloch s.c.","7149366982","13809893418672"
"Marcin Maœlach","Grupa Bednarowicz","1298805998","47142035508067"
"pan Ignacy Ko³ata","PPUH Brudny","3442482575","31309933514649"
"Jeremi Pik","Stowarzyszenie Paœnik S.A.","1266874559","37985699063868"
"Gustaw Kwak","PPUH Maciocha","6126794828","01059991137058"
"Krystyna Gumu³a","PPUH Mêcik","1596581470","45512462389952"
"Bartek Majnusz","PPUH Matulewicz","6283565160","95961746506044"
"Alan Picheta","Grupa Pyda-Nieœcior Sp. z o.o.","4879868453","89014111612347"
"Oliwier Maksimowicz","Stowarzyszenie Maziarczyk i syn s.c.","4619853058","45962606605091"
"Maciej Macias","Biesek-Styn Sp.j.","1684900348","43502082700980"
"pani Adrianna Zubel","Dolega-Kowalówka Sp.j.","1732694037","43937221035549"
"Bruno Strzelczak","Haponiuk-Andryszczyk i syn s.c.","5764954331","51319050341802"
"Aleks Wicha","Gabinety Siemion S.A.","2897222631","11097477743064"
"Kazimierz Malisz","Spó³dzielnia Salwin-Noszczyk i syn s.c.","7990992345","13885891951671"
"Alan Fio³ek","Borysiuk Sp.j.","4718409409","09167869406428"
"pan Piotr Anio³a","Fundacja Bodek Sp.k.","4129847398","19903963169015"
